brand,year,km_driven,fuel,seller_type,transmission,owner
5,2017.0,39000.0,4,0,1,0
5,2008.0,35008.0,4,0,1,0
5,2002.0,60000.0,4,1,1,4
5,2012.0,149534.8,1,1,1,0
4,2005.0,149534.8,1,1,1,4
5,2005.0,70000.0,4,1,1,2
0,2012.0,120000.0,1,1,0,4
0,2014.0,52000.0,1,0,1,0
5,2016.0,40000.0,1,1,1,2
3,2015.0,70000.0,1,1,1,0
5,2015.0,50000.0,4,1,1,2
5,2013.0,25000.0,4,1,1,2
4,2013.0,41988.0,1,0,1,0
5,2008.0,29173.0,4,0,1,0
10,2014.0,120000.0,1,1,1,0
7,2009.0,45000.0,1,1,0,4
10,2012.0,35000.0,1,1,1,0
4,2011.0,70000.0,1,1,0,0
7,2014.0,120000.0,1,1,1,2
5,2019.0,5000.0,4,1,1,0
